Price,Close,High,Low,Open,Volume
Ticker,INTC,INTC,INTC,INTC,INTC
Date,,,,,
2026-07-27,91.66999816894531,94.9800033569336,86.94000244140625,92.45999908447266,133247300
2026-07-28,86.30000305175781,88.27999877929688,83.0999984741211,86.62000274658203,154346700
2026-07-29,81.87999725341797,88.47000122070312,81.79000091552734,86.56999969482422,152394600
2026-07-30,91.12999725341797,94.0999984741211,85.97000122070312,86.51000213623047,140322600
2026-07-31,90.19999694824219,97.9000015258789,90.12999725341797,96.72000122070312,109039500
2026-08-03,91.0,91.68000030517578,85.62000274658203,88.4000015258789,96633600
2026-08-04,100.86000061035156,101.38999938964844,94.31999969482422,95.23999786376953,124355100
2026-08-05,101.05999755859375,102.83000183105469,97.9000015258789,99.30000305175781,85388400
2026-08-06,99.80999755859375,103.37999725341797,95.5999984741211,98.22000122070312,78088100
2026-08-07,101.6500015258789,103.66000366210938,98.02999877929688,102.33000183105469,76760600
2026-08-10,97.5199966430664,100.02999877929688,96.30000305175781,98.26000213623047,101153400
2026-08-11,97.70999908447266,98.3499984741211,95.3499984741211,96.77999877929688,164063600
2026-08-12,100.94999694824219,103.16000366210938,100.12000274658203,101.33000183105469,162446700
2026-08-13,104.55999755859375,107.56999969482422,100.33000183105469,101.51000213623047,116837600
2026-08-14,102.5,106.87000274658203,102.05000305175781,104.4800033569336,95387500
2026-08-17,103.48999786376953,105.97000122070312,101.80000305175781,103.55000305175781,88616800
2026-08-18,96.69000244140625,99.30999755859375,95.25,99.22000122070312,121969500
2026-08-19,92.80000305175781,98.19999694824219,91.27999877929688,97.41000366210938,110268600
2026-08-20,92.12999725341797,92.68000030517578,89.8499984741211,91.87000274658203,85654700
2026-08-21,90.06999969482422,92.7699966430664,89.75,92.70999908447266,91670100
2026-08-24,87.26000213623047,88.91000366210938,85.13999938964844,88.86000061035156,96903400
2026-08-25,87.4800033569336,90.18000030517578,87.29000091552734,90.05999755859375,81853800
2026-08-26,88.23999786376953,88.27999877929688,85.62999725341797,86.80999755859375,74649300
2026-08-27,90.16500091552734,92.94999694824219,88.45999908447266,89.94999694824219,74456864
