Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2026-07-27,388.368896484375,393.45931979821836,387.2609663085435,389.3470355932277,27856200
2026-07-28,392.61090087890625,399.56780545733704,390.5647345556998,392.4212554523594,32367500
2026-07-29,389.8061828613281,400.4960502148319,388.00954678983055,392.6607942930367,47209000
2026-07-30,450.2524108886719,457.8281459885008,431.6274684759506,437.07720086969465,110160700
2026-07-31,463.8468017578125,465.962813447145,448.4857046349594,449.1544591210436,60846000
2026-08-03,486.73370361328125,490.7261876465455,474.10747895013026,475.2353605631651,66762100
2026-08-04,491.884033203125,498.50158065157444,478.2696778930625,479.99640781848416,50455500
2026-08-05,486.5440673828125,497.3038108374591,484.7674131728324,495.42733843271316,33388900
2026-08-06,498.9207458496094,500.61756372489685,487.60205742358346,487.6319998350186,36441500
2026-08-07,499.0505065917969,504.23075699317457,497.79289485093346,498.2719734340298,28846200
2026-08-10,505.109130859375,512.7647021753171,501.32624359045303,502.4940586092805,31206100
2026-08-11,502.86334228515625,504.38047525067043,498.61133704649393,503.3823542433026,23049800
2026-08-12,491.5047302246094,500.557695253814,490.59643643442394,499.0505227551261,29001500
2026-08-13,495.9463806152344,500.3979918654044,492.0836571155829,492.34314786956145,23039000
2026-08-14,494.4691467285156,499.07050046550256,492.991947114923,495.42733437790497,16217600
2026-08-17,479.44744873046875,491.73431632358415,477.51109147171053,489.21906226283284,29635800
2026-08-18,480.72503662109375,483.36006030134655,476.2534434403709,480.6352093836093,24087600
2026-08-19,483.3999938964844,488.3806080919379,478.4592826108848,479.16797047398614,19961900
2026-08-20,481.1499938964844,484.1600036621094,479.5,483.29998779296875,20020800
2026-08-21,483.239990234375,486.3599853515625,478.5299987792969,479.8800048828125,22510800
2026-08-24,487.30999755859375,490.6099853515625,481.8599853515625,483.2099914550781,17230800
2026-08-25,491.7099914550781,492.44000244140625,484.29998779296875,485.44000244140625,19519000
2026-08-26,496.3699951171875,497.3999938964844,487.30999755859375,487.8500061035156,20712000
2026-08-27,499.68499755859375,500.17999267578125,490.0799865722656,494.6549987792969,4522843
